TIME,Weight,Load,Velocity,Slope,Eta,Gravity
0,70,2.1151763329833084,4.590194923162645,-5.999320840093523,1.0,3.4
60,70,2.1151763329833084,4.590194923162645,-6.928089900757724,1.0,3.4
120,70,2.1151763329833084,4.590194923162645,-8.176740744694033,1.0,3.4
180,70,2.1151763329833084,4.590194923162645,-7.943943439692736,1.0,3.4
240,70,2.1151763329833084,4.590194923162645,-7.41389051050327,1.0,3.4
300,70,2.1151763329833084,4.590194923162645,-8.112504025462009,1.0,3.4
360,70,2.1151763329833084,4.590194923162645,-8.223293513966956,1.0,3.4
420,70,2.1151763329833084,4.590194923162645,-8.130917483409673,1.0,3.4
480,70,2.1151763329833084,4.590194923162645,-7.621089902612326,1.0,3.4
540,70,2.1151763329833084,4.590194923162645,-7.269103829514126,1.0,3.4
600,70,2.1151763329833084,4.590194923162645,-8.883101812178928,1.0,3.4
660,70,2.1151763329833084,4.590194923162645,-9.33297650632339,1.0,3.4
720,70,2.1151763329833084,4.590194923162645,-7.810181855936362,1.0,3.4
780,70,2.1151763329833084,4.590194923162645,-7.566127840415435,1.0,3.4
840,70,2.1151763329833084,4.590194923162645,-8.643543066770874,1.0,3.4
900,70,2.1151763329833084,4.590194923162645,-9.147722824012174,1.0,3.4
960,70,2.1151763329833084,4.590194923162645,-9.586950289251082,1.0,3.4
1020,70,2.1151763329833084,4.590194923162645,-9.935051657832602,1.0,3.4
1080,70,2.1151763329833084,4.590194923162645,-10.082799907564874,1.0,3.4
1140,70,2.1151763329833084,4.590194923162645,-10.007618261089512,1.0,3.4
1200,70,2.1151763329833084,4.590194923162645,-9.408349732429855,1.0,3.4
1260,70,2.1151763329833084,4.590194923162645,-8.597897525594732,1.0,3.4
1320,70,2.1151763329833084,4.590194923162645,-9.069482749203999,1.0,3.4
1380,70,2.1151763329833084,4.590194923162645,-10.837562148190283,1.0,3.4
1440,70,2.1151763329833084,4.590194923162645,-12.763043672107699,1.0,3.4
1500,70,2.1151763329833084,4.590194923162645,-14.18415069206765,1.0,3.4
1560,70,2.1151763329833084,4.590194923162645,-14.753812206660125,1.0,3.4
1620,70,2.1151763329833084,4.590194923162645,-14.63190167468958,1.0,3.4
1680,70,2.1151763329833084,4.590194923162645,-14.37657232714534,1.0,3.4
1740,70,2.1151763329833084,4.590194923162645,-13.692897947476473,1.0,3.4
1800,70,2.1151763329833084,4.590194923162645,-12.889226102212868,1.0,3.4
1860,70,2.1151763329833084,4.590194923162645,-12.96413369795846,1.0,3.4
1920,70,2.1151763329833084,4.590194923162645,-12.920757059703833,1.0,3.4
1980,70,2.1151763329833084,4.590194923162645,-12.4182322765398,1.0,3.4
2040,70,2.1151763329833084,4.590194923162645,-12.663212527565591,1.0,3.4
2100,70,2.1151763329833084,4.590194923162645,-13.606132918354163,1.0,3.4
2160,70,2.1151763329833084,4.590194923162645,-13.730288551382131,1.0,3.4
2220,70,2.1151763329833084,4.590194923162645,-13.596355199294457,1.0,3.4
2280,70,2.1151763329833084,4.590194923162645,-13.44749619215322,1.0,3.4
2340,70,2.1151763329833084,4.590194923162645,-13.866515099115977,1.0,3.4
2400,70,2.1151763329833084,4.590194923162645,-14.591189659475498,1.0,3.4
2460,70,2.1151763329833084,4.590194923162645,-15.031050718094288,1.0,3.4
2520,70,2.1151763329833084,4.590194923162645,-15.984870542783781,1.0,3.4
2580,70,2.1151763329833084,4.590194923162645,-16.989843598563688,1.0,3.4
2640,70,2.1151763329833084,4.590194923162645,-18.48105612713664,1.0,3.4
2700,70,2.1151763329833084,4.590194923162645,-19.729880209037116,1.0,3.4
2760,70,2.1151763329833084,4.590194923162645,-19.999999999999996,1.0,3.4
2820,70,2.1151763329833084,4.590194923162645,-19.999999999999993,1.0,3.4
2880,70,2.1151763329833084,4.590194923162645,-20.000000000000014,1.0,3.4
2940,70,2.1151763329833084,4.590194923162645,-19.09023712893657,1.0,3.4
3000,70,2.1151763329833084,4.590194923162645,-18.436156490808383,1.0,3.4
3060,70,2.1151763329833084,4.590194923162645,-17.75466583821005,1.0,3.4
3120,70,2.1151763329833084,4.590194923162645,-16.232963959070283,1.0,3.4
