TIME,X,Y,Weight,Load,Velocity,Slope,Eta,Gravity
0,0.0,500.0,70,26.409714115111154,2.44718631781933,-14.137057056057335,1.0,1.6
60,146.8311790691598,479.24239243891117,70,26.409714115111154,2.44718631781933,-13.789519607475158,1.0,1.6
120,293.6623581383196,459.5053715447425,70,26.409714115111154,2.44718631781933,-12.944117010932159,1.0,1.6
180,440.49353720747933,441.23039318442443,70,26.409714115111154,2.44718631781933,-13.277448241427365,1.0,1.6
240,587.3247162766392,420.51450393837206,70,26.409714115111154,2.44718631781933,-14.92044919630722,1.0,1.6
300,734.155895345799,397.4146502297187,70,26.409714115111154,2.44718631781933,-15.851752746689245,1.0,1.6
360,880.9870744149587,373.9638730161886,70,26.409714115111154,2.44718631781933,-15.85018422041976,1.0,1.6
420,1027.8182534841185,350.8686254787662,70,26.409714115111154,2.44718631781933,-15.151304337613123,1.0,1.6
480,1174.6494325532783,329.4701954096404,70,26.409714115111154,2.44718631781933,-14.785166162188986,1.0,1.6
540,1321.4806116224381,307.45015787221314,70,26.409714115111154,2.44718631781933,-15.23111196193211,1.0,1.6
600,1468.311790691598,284.74215285154287,70,26.409714115111154,2.44718631781933,-15.682756690714726,1.0,1.6
660,1615.1429697607578,261.3958047531652,70,26.409714115111154,2.44718631781933,-15.070214445180461,1.0,1.6
720,1761.9741488299173,240.48660573532428,70,26.409714115111154,2.44718631781933,-15.220020779513817,1.0,1.6
780,1908.8053278990772,216.70033282290268,70,26.409714115111154,2.44718631781933,-15.883749087133783,1.0,1.6
840,2055.636506968237,193.8420136052734,70,26.409714115111154,2.44718631781933,-15.282174476058088,1.0,1.6
900,2202.467686037397,171.82233888169807,70,26.409714115111154,2.44718631781933,-15.824772211340315,1.0,1.6
960,2349.2988651065566,147.37061435943392,70,26.409714115111154,2.44718631781933,-16.353933445587362,1.0,1.6
1020,2496.130044175716,123.79699227701495,70,26.409714115111154,2.44718631781933,-16.649946587671515,1.0,1.6
1080,2642.9612232448762,98.47598858130706,70,26.409714115111154,2.44718631781933,-17.70358944726133,1.0,1.6
1140,2789.792402314036,71.80821403106063,70,26.409714115111154,2.44718631781933,-18.266842729867992,1.0,1.6
1200,2936.623581383196,44.833147463358515,70,26.409714115111154,2.44718631781933,-18.70482361509768,1.0,1.6
1260,3083.4547604523555,16.87918791735149,70,26.409714115111154,2.44718631781933,-19.519081615778724,1.0,1.6
1320,3230.2859395215155,-12.487047896480519,70,26.409714115111154,2.44718631781933,-20.0,1.0,1.6
1380,3377.117118590675,-41.85328371031244,70,26.409714115111154,2.44718631781933,-20.000000000000004,1.0,1.6
1440,3523.9482976598347,-71.21951952414436,70,26.409714115111154,2.44718631781933,-19.58594820445538,1.0,1.6
1500,3670.7794767289947,-99.36984107126598,70,26.409714115111154,2.44718631781933,-18.354382255839337,1.0,1.6
1560,3817.6106557981543,-125.11943127836346,70,26.409714115111154,2.44718631781933,-17.674467412372813,1.0,1.6
1620,3964.4418348673144,-151.27309886282882,70,26.409714115111154,2.44718631781933,-16.88441747740556,1.0,1.6
1680,4111.273013936474,-174.70260980043122,70,26.409714115111154,2.44718631781933,-16.70213263227945,1.0,1.6
1740,4258.1041930056335,-200.32097541017038,70,26.409714115111154,2.44718631781933,-18.314488635322927,1.0,1.6
1800,4404.935372074794,-228.48536900789517,70,26.409714115111154,2.44718631781933,-18.686907666333987,1.0,1.6
1860,4551.766551143954,-255.1973891262573,70,26.409714115111154,2.44718631781933,-18.38785725288553,1.0,1.6
1920,4698.597730213113,-282.4835842278268,70,26.409714115111154,2.44718631781933,-17.677782045288946,1.0,1.6
1980,4845.428909282273,-307.1103807470052,70,26.409714115111154,2.44718631781933,-16.121913998321837,1.0,1.6
2040,4992.260088351432,-329.82757705233047,70,26.409714115111154,2.44718631781933,-14.927246657086297,1.0,1.6
2100,5139.091267420593,-350.94608528532837,70,26.409714115111154,2.44718631781933,-13.839886178311612,1.0,1.6
2160,5285.9224464897525,-370.4701131672198,70,26.409714115111154,2.44718631781933,-13.469793569972975,1.0,1.6
2220,5432.753625558912,-390.5017987192747,70,26.409714115111154,2.44718631781933,-13.956358756292095,1.0,1.6
2280,5579.584804628072,-411.45468540119094,70,26.409714115111154,2.44718631781933,-14.18161880315624,1.0,1.6
2340,5726.415983697232,-432.1478749188107,70,26.409714115111154,2.44718631781933,-13.667936487180931,1.0,1.6
2400,5873.247162766392,-451.59226999829434,70,26.409714115111154,2.44718631781933,-13.76124782593589,1.0,1.6
2460,6020.078341835551,-472.5594797937122,70,26.409714115111154,2.44718631781933,-13.683060692091269,1.0,1.6
2520,6166.909520904711,-491.774268692187,70,26.409714115111154,2.44718631781933,-13.857613762616184,1.0,1.6
2580,6313.7406999738705,-513.2540751507112,70,26.409714115111154,2.44718631781933,-14.794181577811404,1.0,1.6
2640,6460.571879043031,-535.2192111808529,70,26.409714115111154,2.44718631781933,-15.238632917534844,1.0,1.6
2700,6607.403058112191,-558.0042039243863,70,26.409714115111154,2.44718631781933,-15.426625679984646,1.0,1.6
2760,6754.23423718135,-580.5214039338673,70,26.409714115111154,2.44718631781933,-14.385434963898938,1.0,1.6
2820,6901.06541625051,-600.2488114678262,70,26.409714115111154,2.44718631781933,-14.116445352944986,1.0,1.6
2880,7047.896595319669,-621.9760902426327,70,26.409714115111154,2.44718631781933,-13.918727494247719,1.0,1.6
2940,7194.72777438883,-641.1228748502807,70,26.409714115111154,2.44718631781933,-13.441033292051333,1.0,1.6
3000,7341.558953457989,-661.4473455662273,70,26.409714115111154,2.44718631781933,-14.055547155836399,1.0,1.6
3060,7488.390132527149,-682.3987260773533,70,26.409714115111154,2.44718631781933,-14.105656735494943,1.0,1.6
3120,7635.221311596309,-702.8703497665784,70,26.409714115111154,2.44718631781933,-14.297536667080228,1.0,1.6
3180,7782.052490665469,-724.3852094095921,70,26.409714115111154,2.44718631781933,-15.004321111332079,1.0,1.6
3240,7928.883669734629,-746.932392964762,70,26.409714115111154,2.44718631781933,-14.793996316567526,1.0,1.6
3300,8075.714848803788,-767.8296078557204,70,26.409714115111154,2.44718631781933,-15.11938618562684,1.0,1.6
3360,8222.546027872948,-791.3323389735131,70,26.409714115111154,2.44718631781933,-15.45302970970521,1.0,1.6
3420,8369.377206942108,-813.2093393050559,70,26.409714115111154,2.44718631781933,-15.340963021691715,1.0,1.6
3480,8516.208386011267,-836.3829727441405,70,26.409714115111154,2.44718631781933,-15.169443772165891,1.0,1.6
3540,8663.039565080428,-857.7562856028646,70,26.409714115111154,2.44718631781933,-14.553213884466789,1.0,1.6
3600,8809.870744149588,-879.1202838221792,70,26.409714115111154,2.44718631781933,-14.312875893114484,1.0,1.6
3660,8956.701923218747,-899.7878144679956,70,26.409714115111154,2.44718631781933,-14.609795768831514,1.0,1.6
3720,9103.533102287907,-922.0237545961222,70,26.409714115111154,2.44718631781933,-14.911333542348729,1.0,1.6
3780,9250.364281357066,-943.5767881783271,70,26.409714115111154,2.44718631781933,-14.547929001797918,1.0,1.6
3840,9397.195460426226,-964.7455459630904,70,26.409714115111154,2.44718631781933,-14.393621252783921,1.0,1.6
3900,9544.026639495387,-985.8454357707509,70,26.409714115111154,2.44718631781933,-14.51524524402636,1.0,1.6
3960,9690.857818564546,-1007.3713574362584,70,26.409714115111154,2.44718631781933,-13.661435572854145,1.0,1.6
4020,9837.688997633706,-1025.9639296295416,70,26.409714115111154,2.44718631781933,-12.03990699130905,1.0,1.6
4080,9984.520176702865,-1042.728032224597,70,26.409714115111154,2.44718631781933,-10.771539158768519,1.0,1.6
4140,10131.351355772025,-1057.5958855309736,70,26.409714115111154,2.44718631781933,-10.432342334662717,1.0,1.6
4200,10278.182534841186,-1073.3638947336299,70,26.409714115111154,2.44718631781933,-10.747393656576037,1.0,1.6
4260,10425.013713910344,-1089.156935181283,70,26.409714115111154,2.44718631781933,-11.534646467520664,1.0,1.6
4320,10571.844892979505,-1107.2368095530694,70,26.409714115111154,2.44718631781933,-12.33677500715152,1.0,1.6
4380,10718.676072048664,-1125.385399585503,70,26.409714115111154,2.44718631781933,-12.177239178647756,1.0,1.6
4440,10865.507251117824,-1142.9967772812297,70,26.409714115111154,2.44718631781933,-12.289453046983631,1.0,1.6
