TIME,X,Y,Weight,Load,Velocity,Slope,Eta,Gravity
0,0.0,500.0,70,17.122422860930687,2.859953109053826,5.835412551699603,1.0,1.6
60,171.59718654322955,510.013403761907,70,17.122422860930687,2.859953109053826,6.230173071647322,1.0,1.6
120,343.1943730864591,521.3816034154414,70,17.122422860930687,2.859953109053826,6.802559746937966,1.0,1.6
180,514.7915596296887,533.3594060392426,70,17.122422860930687,2.859953109053826,6.5318898143142725,1.0,1.6
240,686.3887461729182,543.7986817143756,70,17.122422860930687,2.859953109053826,7.00014772553114,1.0,1.6
300,857.9859327161478,557.3835191410052,70,17.122422860930687,2.859953109053826,7.376775922347945,1.0,1.6
360,1029.5831192593773,569.1153615950705,70,17.122422860930687,2.859953109053826,7.768108748308514,1.0,1.6
420,1201.1803058026069,584.043231260437,70,17.122422860930687,2.859953109053826,8.038692614355535,1.0,1.6
480,1372.7774923458364,596.7037023172554,70,17.122422860930687,2.859953109053826,7.167991232881592,1.0,1.6
540,1544.374678889066,608.6433738350173,70,17.122422860930687,2.859953109053826,6.66577486145955,1.0,1.6
600,1715.9718654322955,619.5802665643963,70,17.122422860930687,2.859953109053826,6.407487227694483,1.0,1.6
660,1887.569051975525,630.6335094566983,70,17.122422860930687,2.859953109053826,7.200656134442305,1.0,1.6
720,2059.1662385187547,644.2925132431072,70,17.122422860930687,2.859953109053826,7.020503734822894,1.0,1.6
780,2230.763425061984,654.7274832369352,70,17.122422860930687,2.859953109053826,5.878787496088119,1.0,1.6
840,2402.3606116052138,664.468181135392,70,17.122422860930687,2.859953109053826,6.215901057542592,1.0,1.6
900,2573.9577981484435,676.0601059030431,70,17.122422860930687,2.859953109053826,5.93443342980108,1.0,1.6
960,2745.554984691673,684.8348227410311,70,17.122422860930687,2.859953109053826,5.788380983163476,1.0,1.6
1020,2917.152171234902,695.9255037300668,70,17.122422860930687,2.859953109053826,7.005677267265091,1.0,1.6
1080,3088.749357778132,708.8779129188821,70,17.122422860930687,2.859953109053826,7.05441285593785,1.0,1.6
1140,3260.3465443213618,720.1358517059333,70,17.122422860930687,2.859953109053826,7.3348591081130285,1.0,1.6
1200,3431.943730864591,734.0507366517456,70,17.122422860930687,2.859953109053826,7.869265252633497,1.0,1.6
1260,3603.5409174078204,747.1427272562194,70,17.122422860930687,2.859953109053826,7.884160086837325,1.0,1.6
1320,3775.13810395105,761.1087304348998,70,17.122422860930687,2.859953109053826,8.923310516033988,1.0,1.6
1380,3946.73529049428,777.7670268402803,70,17.122422860930687,2.859953109053826,8.763402094938204,1.0,1.6
1440,4118.332477037509,791.1842333156686,70,17.122422860930687,2.859953109053826,6.823661044915559,1.0,1.6
1500,4289.929663580739,801.1854475849232,70,17.122422860930687,2.859953109053826,5.745944873244605,1.0,1.6
1560,4461.526850123968,810.903992801294,70,17.122422860930687,2.859953109053826,5.971415712946817,1.0,1.6
